Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1193,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,it Serie A,22-224,1998,10.4,25,2.41,19,0,3,1,2,0,3,0.29,1,0,0,1,1,0,0,Matches
1194,Atakan Karazor\Atakan-Karazor,de GER,DF,Stuttgart,de Bundesliga,24-127,1996,5.3,2,0.38,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1195,Augustus Kargbo\Augustus-Kargbo,sl SLE,FW,Crotone,it Serie A,21-177,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1196,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,de Bundesliga,27-240,1993,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1197,Rick Karsdorp\Rick-Karsdorp,nl NED,DF,Roma,it Serie A,26-006,1995,17.5,27,1.55,22,1,1,3,0,0,6,0.34,6,0,0,0,0,0,0,Matches
1198,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,de Bundesliga,19-310,2001,6.4,9,1.40,6,0,0,1,2,0,1,0.16,0,0,0,0,1,0,0,Matches
1199,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,37-334,1983,17.0,2,0.12,2,0,0,0,0,0,1,0.06,1,0,0,0,0,0,0,Matches
1200,Moise Kean\Moise-Kean,it ITA,FW,Everton,eng Premier League,20-355,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1201,Moise Kean\Moise-Kean,it ITA,FW,Paris S-G,fr Ligue 1,20-355,2000,12.7,15,1.19,9,0,3,1,1,1,2,0.16,1,0,1,0,0,0,0,Matches
1202,Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,28-037,1993,19.2,13,0.68,12,0,0,1,0,0,1,0.05,1,0,0,0,0,0,0,Matches
1203,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,eng Premier League,28-344,1992,1.3,3,2.27,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1204,Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,fr Ligue 1,24-149,1996,11.1,3,0.27,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1205,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,eng Premier League,26-007,1995,4.4,10,2.28,8,0,0,2,0,0,1,0.23,1,0,0,0,0,0,0,Matches
1206,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,de Bundesliga,21-002,2000,0.8,1,1.27,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1207,Caoimhin Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,22-086,1998,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1208,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,es La Liga,19-181,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1209,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,de Bundesliga,26-020,1995,18.7,20,1.07,18,2,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
1210,Kenedy\Kenedy,br BRA,FWMF,Granada,es La Liga,25-009,1996,11.1,23,2.07,9,4,7,1,1,1,3,0.27,1,1,1,0,0,0,0,Matches
1211,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,eng Premier League,23-339,1997,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1212,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,24-060,1996,20.1,39,1.94,30,0,2,5,2,0,3,0.15,1,0,0,2,0,0,0,Matches
1213,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,eng Premier League,19-228,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1214,Omar Khailoti\Omar-Khailoti,it ITA,DF,Bologna,it Serie A,19-165,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1215,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,DFMF,Marseille,fr Ligue 1,25-296,1995,2.0,5,2.49,4,0,0,1,0,0,1,0.50,1,0,0,0,0,0,0,Matches
1216,Wahbi Khazri\Wahbi-Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,30-009,1991,4.8,13,2.70,9,3,0,0,1,0,1,0.21,0,0,0,0,1,0,0,Matches
1217,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,de Bundesliga,27-021,1994,11.3,6,0.53,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1218,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,de Bundesliga,33-319,1987,0.5,2,4.19,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
1219,Kike\Kike,es ESP,FW,Eibar,es La Liga,31-084,1989,19.8,42,2.12,21,0,5,6,9,1,4,0.20,2,0,1,0,0,1,0,Matches
1220,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,de Bundesliga,21-169,1999,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1221,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,23-270,1997,12.5,7,0.56,5,0,0,0,0,2,1,0.08,1,0,0,0,0,0,0,Matches
1222,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26-009,1995,12.6,57,4.54,38,18,0,0,1,0,13,1.04,9,4,0,0,0,0,0,Matches
1223,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25-188,1995,13.6,6,0.44,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1224,Joshua King\Joshua-King,no NOR,FWMF,Everton,eng Premier League,29-033,1992,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1225,Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,25-012,1996,8.5,20,2.36,14,0,3,2,1,0,1,0.12,1,0,0,0,0,0,0,Matches
1226,Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,it Serie A,31-328,1989,13.8,6,0.44,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
1227,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,27-362,1993,2.5,3,1.22,2,0,0,1,0,0,1,0.41,1,0,0,0,0,0,0,Matches
1228,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,de Bundesliga,28-157,1992,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1229,Klauss\Klauss,br BRA,FW,Hoffenheim,de Bundesliga,23-353,1997,0.6,3,5.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1230,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,it Serie A,35-110,1985,4.7,1,0.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1231,Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,de Bundesliga,28-161,1992,2.7,22,8.05,9,11,0,1,1,0,4,1.46,2,2,0,0,0,0,0,Matches
1232,Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,eng Premier League,30-249,1990,20.0,81,4.05,68,7,2,3,1,0,12,0.60,10,1,1,0,0,0,0,Matches
1233,Mateo Klimowicz\Mateo-Klimowicz,ar ARG,FWMF,Stuttgart,de Bundesliga,20-226,2000,9.5,28,2.96,17,0,5,2,3,1,7,0.74,2,0,2,0,2,1,0,Matches
1234,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,de Bundesliga,33-077,1987,19.1,34,1.78,29,0,0,1,4,0,4,0.21,4,0,0,0,0,0,0,Matches
1235,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,de Bundesliga,24-260,1996,6.7,9,1.34,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0,Matches
1236,Justin Kluivert\Justin-Kluivert,nl NED,FW,RB Leipzig,de Bundesliga,21-288,1999,3.8,8,2.09,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1237,Justin Kluivert\Justin-Kluivert,nl NED,FWMF,Roma,it Serie A,21-288,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1238,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,de Bundesliga,24-267,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1239,Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,de Bundesliga,28-271,1992,21.0,5,0.24,2,1,0,1,0,1,1,0.05,1,0,0,0,0,0,0,Matches
1240,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,de Bundesliga,23-073,1997,21.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1241,Robin Koch\Robin-Koch,de GER,DF,Leeds United,eng Premier League,24-215,1996,10.1,8,0.79,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1242,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,es La Liga,21-233,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1243,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Valladolid,es La Liga,27-182,1993,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1244,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,es La Liga,27-182,1993,0.5,2,4.09,0,0,0,1,1,0,2,4.09,0,0,0,1,1,0,0,Matches
1245,Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,de Bundesliga,27-017,1994,4.2,5,1.19,3,0,0,1,1,0,1,0.24,0,0,0,1,0,0,0,Matches
1246,Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,de Bundesliga,27-017,1994,2.9,4,1.38,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
1247,Koba Koindredi\Koba-Koindredi,fr FRA,MF,Valencia,es La Liga,19-113,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1248,Koke\Koke,es ESP,MF,Atlético Madrid,es La Liga,29-040,1992,17.9,36,2.01,32,3,0,1,0,0,5,0.28,5,0,0,0,0,0,0,Matches
1249,Aleksandr Kokorin\Aleksandr-Kokorin,ru RUS,FW,Fiorentina,it Serie A,29-335,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1250,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Inter,it Serie A,35-099,1985,4.3,15,3.46,11,2,0,1,0,1,2,0.46,1,1,0,0,0,0,0,Matches
1251,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,eng Premier League,27-242,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1252,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Schalke 04,de Bundesliga,27-242,1993,5.8,8,1.38,6,0,2,0,0,0,1,0.17,1,0,0,0,0,0,0,Matches
1253,Randal Kolo Muani\Randal-Kolo-Muani,fr FRA,FW,Nantes,fr Ligue 1,22-074,1998,21.3,56,2.63,35,0,10,2,7,2,7,0.33,2,0,2,1,2,0,0,Matches
1254,Timothée Kolodziejczak\Timothee-Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29-139,1991,17.1,10,0.58,7,1,0,1,0,1,1,0.06,0,0,0,0,0,1,0,Matches
1255,Ghislain Konan\Ghislain-Konan,ci CIV,DF,Reims,fr Ligue 1,25-052,1995,18.0,31,1.72,24,1,4,0,0,2,2,0.11,2,0,0,0,0,0,0,Matches
1256,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,de Bundesliga,21-268,1999,4.5,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1257,Moussa Konaté\Moussa-Konate,sn SEN,FW,Dijon,fr Ligue 1,27-320,1993,8.7,13,1.49,8,0,1,2,1,1,3,0.34,0,0,1,2,0,0,0,Matches
1258,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MFFW,Atlético Madrid,es La Liga,28-002,1993,3.3,6,1.84,6,0,0,0,0,0,1,0.31,1,0,0,0,0,0,0,Matches
1259,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,es La Liga,28-002,1993,4.9,5,1.02,4,0,0,0,1,0,1,0.20,1,0,0,0,0,0,0,Matches
1260,Lamine Koné\Lamine-Kone,ci CIV,DF,Strasbourg,fr Ligue 1,32-016,1989,4.8,3,0.62,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1261,Moussa Koné\Moussa-Kone,sn SEN,FWMF,Nîmes,fr Ligue 1,24-049,1996,8.4,9,1.07,7,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
1262,Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,es La Liga,25-227,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1263,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,eng Premier League,23-117,1997,19.5,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1264,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35-160,1985,17.4,14,0.81,13,0,0,1,0,0,1,0.06,1,0,0,0,0,0,0,Matches
1265,Filip Kostić\Filip-Kostic,rs SRB,DF,Eint Frankfurt,de Bundesliga,28-108,1992,15.2,61,4.02,40,15,0,4,2,0,14,0.92,8,4,0,1,1,0,0,Matches
1266,Christian Kouamé\Christian-Kouame,ci CIV,FW,Fiorentina,it Serie A,23-073,1997,7.8,11,1.41,10,0,0,0,1,0,1,0.13,1,0,0,0,0,0,0,Matches
1267,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DF,Bayern Munich,de Bundesliga,18-255,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1268,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,it Serie A,29-242,1991,14.5,7,0.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1269,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,es La Liga,22-097,1998,18.1,17,0.94,15,0,1,1,0,0,2,0.11,2,0,0,0,0,0,0,Matches
1270,Boubakar Kouyaté\Boubakar-Kouyate,ml MLI,DF,Metz,fr Ligue 1,23-308,1997,12.4,4,0.32,3,0,0,0,0,1,1,0.08,0,0,0,0,0,1,0,Matches
1271,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DF,Crystal Palace,eng Premier League,31-058,1989,20.7,8,0.39,6,0,0,1,1,0,1,0.05,1,0,0,0,0,0,0,Matches
1272,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,eng Premier League,26-287,1994,14.1,29,2.06,26,0,1,0,2,0,3,0.21,3,0,0,0,0,0,0,Matches
1273,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,eng Premier League,26-199,1994,5.9,5,0.84,4,1,0,0,0,0,1,0.17,1,0,0,0,0,0,0,Matches
1274,Andrej Kramarić\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,de Bundesliga,29-243,1991,15.7,59,3.76,42,1,6,3,6,1,9,0.57,6,0,1,0,1,1,0,Matches
1275,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,de Bundesliga,29-364,1991,16.8,23,1.37,16,1,1,0,3,2,1,0.06,0,0,0,0,0,1,0,Matches
1276,Jean-Philippe Krasso\Jean-Philippe-Krasso,fr FRA,FW,Saint-Étienne,fr Ligue 1,23-215,1997,2.5,6,2.42,4,0,1,1,0,0,1,0.40,1,0,0,0,0,0,0,Matches
1277,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,es La Liga,31-044,1990,17.3,76,4.39,40,30,0,2,2,2,7,0.40,4,2,0,0,0,1,0,Matches
1278,Filip Krovinović\Filip-Krovinovic,hr CRO,MF,West Brom,eng Premier League,25-172,1995,6.1,17,2.80,10,3,3,0,1,0,1,0.16,1,0,0,0,0,0,0,Matches
1279,Rade Krunić\Rade-Krunic,ba BIH,MF,Milan,it Serie A,27-133,1993,4.1,8,1.97,7,0,0,0,1,0,1,0.25,0,0,0,0,1,0,0,Matches
1280,Max Kruse\Max-Kruse,de GER,MFFW,Union Berlin,de Bundesliga,32-335,1988,8.0,31,3.86,25,4,0,2,0,0,10,1.24,9,0,0,1,0,0,0,Matches
1281,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,de Bundesliga,28-171,1992,5.0,7,1.39,5,2,0,0,0,0,1,0.20,1,0,0,0,0,0,0,Matches
1282,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Villarreal,es La Liga,19-258,2001,3.3,14,4.21,11,0,2,1,0,0,1,0.30,1,0,0,0,0,0,0,Matches
1283,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Getafe,es La Liga,19-258,2001,4.2,9,2.14,4,2,1,2,0,0,1,0.24,0,0,0,1,0,0,0,Matches
1284,Juraj Kucka\Juraj-Kucka,sk SVK,MFFW,Parma,it Serie A,33-357,1987,17.1,34,1.99,21,0,5,1,7,0,5,0.29,4,0,1,0,0,0,0,Matches
1285,Kuki\Kuki,es ESP,MF,Valladolid,es La Liga,22-288,1998,0.3,2,6.00,1,0,0,0,0,1,2,6.00,1,0,0,0,0,1,0,Matches
1286,Dejan Kulusevski\Dejan-Kulusevski,se SWE,FWMF,Juventus,it Serie A,20-298,2000,9.9,47,4.77,33,5,3,2,2,2,3,0.30,2,0,1,0,0,0,0,Matches
1287,Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Roma,it Serie A,21-009,2000,9.2,5,0.54,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1288,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,de Bundesliga,25-206,1995,5.7,8,1.40,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1289,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,de Bundesliga,22-248,1998,9.2,9,0.98,6,0,2,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1290,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,Parma,it Serie A,32-038,1989,17.9,35,1.95,21,9,1,4,0,0,2,0.11,1,0,0,1,0,0,0,Matches
1291,Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,28-166,1992,10.9,15,1.38,12,1,0,0,2,0,1,0.09,1,0,0,0,0,0,0,Matches
1292,Dereck Kutesa\Dereck-Kutesa,ch SUI,MFFW,Reims,fr Ligue 1,23-073,1997,5.6,11,1.95,8,0,0,0,3,0,2,0.36,2,0,0,0,0,0,0,Matches
1293,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,de Bundesliga,20-353,2000,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1294,Enock Kwateng\Enock-Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,23-314,1997,6.6,12,1.81,12,0,0,0,0,0,1,0.15,1,0,0,0,0,0,0,Matches
1295,Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Sampdoria,it Serie A,24-348,1996,2.3,2,0.86,1,0,0,1,0,0,1,0.43,0,0,0,1,0,0,0,Matches
1296,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FWMF,Montpellier,fr Ligue 1,26-290,1994,23.9,60,2.51,42,0,7,5,4,2,16,0.67,10,0,2,3,1,0,0,Matches
1297,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,eng Premier League,29-265,1991,14.6,36,2.46,22,0,3,1,6,4,3,0.21,3,0,0,0,0,0,0,Matches
1298,Tom Lacoux\Tom-Lacoux,fr FRA,MFDF,Bordeaux,fr Ligue 1,19-023,2002,0.8,1,1.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1299,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,20-317,2000,18.1,8,0.44,5,0,0,2,0,1,2,0.11,1,0,0,1,0,0,0,Matches
1300,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,22-025,1999,25.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1301,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,es La Liga,31-104,1989,16.5,7,0.43,5,1,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
1302,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,de Bundesliga,28-174,1992,18.9,31,1.64,22,2,2,1,3,1,3,0.16,1,0,0,0,2,0,0,Matches
1303,Diego Lainez\Diego-Lainez,mx MEX,FWMF,Betis,es La Liga,20-253,2000,4.9,15,3.05,10,2,3,0,0,0,3,0.61,2,1,0,0,0,0,0,Matches
1304,Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,fr Ligue 1,29-137,1991,20.4,52,2.55,33,17,2,0,0,0,5,0.25,4,1,0,0,0,0,0,Matches
1305,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,eng Premier League,32-283,1988,9.4,30,3.18,27,0,0,1,2,0,2,0.21,1,0,0,1,0,0,0,Matches
1306,Érik Lamela\Erik-Lamela,ar ARG,FW,Tottenham,eng Premier League,28-350,1992,4.9,15,3.06,8,2,1,1,1,2,4,0.82,1,1,0,1,0,1,0,Matches
1307,Sam Lammers\Sam-Lammers,nl NED,FWMF,Atalanta,it Serie A,23-293,1997,2.7,8,2.98,7,0,1,0,0,0,1,0.37,0,0,1,0,0,0,0,Matches
1308,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,eng Premier League,20-140,2000,9.8,24,2.44,19,0,1,0,4,0,4,0.41,2,0,0,0,2,0,0,Matches
1309,Loïck Landre\Loick-Landre,fr FRA,DF,Nîmes,fr Ligue 1,28-288,1992,11.2,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1310,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,de Bundesliga,36-042,1985,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1311,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,eng Premier League,28-002,1993,4.2,15,3.56,9,1,1,2,1,1,4,0.95,2,0,0,1,1,0,0,Matches
1312,Gianluca Lapadula\Gianluca-Lapadula,pe PER,FW,Benevento,it Serie A,31-010,1990,17.4,48,2.76,31,0,1,7,6,3,6,0.35,4,0,0,1,1,0,0,Matches
1313,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,26-266,1994,7.4,4,0.54,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1314,Julien Laporte\Julien-Laporte,fr FRA,DF,Lorient,fr Ligue 1,27-105,1993,17.0,10,0.59,8,2,0,0,0,0,1,0.06,1,0,0,0,0,0,0,Matches
1315,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,it Serie A,36-283,1984,21.8,11,0.50,8,1,0,1,1,0,1,0.05,1,0,0,0,0,0,0,Matches
1316,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,23-360,1997,23.0,1,0.04,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1317,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,it Serie A,28-191,1992,12.3,24,1.96,16,0,1,4,2,1,3,0.24,1,0,1,0,0,1,0,Matches
1318,Kevin Lasagna\Kevin-Lasagna,it ITA,FWMF,Hellas Verona,it Serie A,28-191,1992,2.0,3,1.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1319,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,27-098,1993,12.1,4,0.33,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1320,Paul Lasne\Paul-Lasne,fr FRA,MF,Brest,fr Ligue 1,32-032,1989,14.5,11,0.76,8,1,0,0,1,1,2,0.14,2,0,0,0,0,0,0,Matches
1321,Toni Lato\Toni-Lato,es ESP,DF,Valencia,es La Liga,23-088,1997,4.5,6,1.35,3,2,1,0,0,0,1,0.22,0,0,1,0,0,0,0,Matches
1322,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,de Bundesliga,31-072,1989,14.7,28,1.90,18,7,1,1,1,0,2,0.14,2,0,0,0,0,0,0,Matches
1323,Armand Lauriente\Armand-Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,22-075,1998,10.5,51,4.86,27,8,7,4,4,1,5,0.48,4,0,0,1,0,0,0,Matches
1324,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,it Serie A,31-252,1989,3.5,2,0.57,1,0,0,0,0,1,1,0.29,1,0,0,0,0,0,0,Matches
1325,Wesley Lautoa\Wesley-Lautoa,nc NCL,MFDF,Dijon,fr Ligue 1,33-176,1987,11.5,10,0.87,8,0,0,0,0,2,0,0.00,0,0,0,0,0,0,0,Matches
1326,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,de Bundesliga,24-330,1996,5.0,9,1.81,6,2,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
1327,Darko Lazović\Darko-Lazovic,rs SRB,DFMF,Hellas Verona,it Serie A,30-155,1990,13.0,20,1.54,16,1,1,1,1,0,2,0.15,2,0,0,0,0,0,0,Matches
1328,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,it Serie A,27-080,1993,17.9,32,1.79,28,1,0,1,1,1,7,0.39,5,0,0,1,1,0,0,Matches
1329,Jérémy Le Douaron\Jeremy-Le-Douaron,fr FRA,FWMF,Brest,fr Ligue 1,22-302,1998,6.4,12,1.89,9,0,0,1,2,0,4,0.63,3,0,0,0,1,0,0,Matches
1330,Enzo Le Fée\Enzo-Le-Fee,fr FRA,MFFW,Lorient,fr Ligue 1,21-014,2000,11.0,28,2.54,20,2,1,2,3,0,1,0.09,1,0,0,0,0,0,0,Matches
1331,Vincent Le Goff\Vincent-Le-Goff,fr FRA,DF,Lorient,fr Ligue 1,31-125,1989,14.0,17,1.21,16,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1332,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,eng Premier League,31-129,1989,1.4,2,1.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
1333,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,es La Liga,24-098,1996,16.6,5,0.30,4,0,0,1,0,0,2,0.12,1,0,0,1,0,0,0,Matches
